0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-0.1413450967,0.0553108767,0.11487566,-0.0728713767,0.3046070167,0.0350391433,-0.4413071533,-0.01441735,0.2998493133,0.2778756467,-0.18389159,-0.2981745267,-0.1911327133,0.0918905233,-0.07556315,0.3991394767,-0.0677939133,-0.0383573067,0.1842641833,0.43544247,-0.3381943767,0.1664721133,-0.3353753033,-0.3877836033,0.09832035,0.04743856,0.10958545,-0.0337464067
-0.1350582767,0.0521532933,0.0990364533,-0.0749283033,0.2827005833,0.03858243,-0.42372414,0.0035451367,0.2810134267,0.28334653,-0.1822737467,-0.2974336667,-0.1868219867,0.0834234833,-0.07221367,0.3819529067,-0.0514443367,-0.0476948233,0.1889672,0.4329129067,-0.3050603933,0.15761672,-0.34471283,-0.3775438833,0.0868883467,0.04743855,0.1089507033,-0.06696323
-0.1315146867,0.0489949767,0.0841483667,-0.0770069533,0.26024806,0.0419900633,-0.40778695,0.0228451067,0.2619138,0.2874644533,-0.1805155,-0.2982167467,-0.1826193533,0.0744610133,-0.06845895,0.3654092667,-0.03515572,-0.0585196033,0.19560148,0.4354997333,-0.2716283333,0.14530793,-0.35553755,-0.3655441333,0.0737387233,0.04743855,0.10993416,-0.1006513267
-0.12655686,0.0450189167,0.07167505,-0.07978336,0.2380411267,0.0451788967,-0.39036767,0.04274502,0.2417740433,0.29005802,-0.17764019,-0.2956073167,-0.18121182,0.06510584,-0.0659087467,0.34855552,-0.0189144,-0.0659688233,0.20102225,0.4381455333,-0.2384160933,0.1327514467,-0.3629867567,-0.3570589033,0.0611632367,0.04743855,0.1123146,-0.13426803
-0.1205527833,0.0452026367,0.0582333533,-0.0816100533,0.2156606933,0.0485217,-0.37296242,0.0566495633,0.2271843633,0.2938959067,-0.1724581433,-0.29573589,-0.17934163,0.0561828367,-0.0650083967,0.3314366667,-0.0058495667,-0.0732393767,0.20394805,0.4458522167,-0.20475969,0.1170335567,-0.3702572933,-0.3482008633,0.0502619133,0.04743855,0.11279335,-0.1685467
-0.11475554,0.0426373567,0.0428853633,-0.08281451,0.19654172,0.0512382733,-0.3564818867,0.0700427733,0.2138703133,0.2946296,-0.1697932033,-0.2953582367,-0.1780198,0.05067251,-0.0633464267,0.3148322333,0.0078169233,-0.07813549,0.2064677967,0.4510277967,-0.17230323,0.1041043633,-0.37515341,-0.3419259233,0.04058248,0.04743855,0.1136949567,-0.2025107733
-0.1095543367,0.04007714,0.0313599233,-0.0834003167,0.1774474933,0.05498021,-0.33884045,0.08412656,0.19908784,0.2950549167,-0.1679432833,-0.2936102133,-0.17711993,0.04211401,-0.0625046167,0.3023581567,0.0190768867,-0.08027286,0.2085915367,0.45352663,-0.1413656967,0.0934075367,-0.37729081,-0.3382200367,0.0318829267,0.04743855,0.1141082833,-0.2359466467
-0.10525525,0.0391617133,0.0171268567,-0.08531616,0.1572148667,0.0568738067,-0.3228008333,0.09618006,0.1867817733,0.2962689967,-0.1636911433,-0.29182053,-0.17687907,0.0350135633,-0.06183257,0.28775445,0.03071811,-0.0823276933,0.2094105667,0.4614953033,-0.1122096733,0.07954356,-0.37934565,-0.3347554333,0.0230446,0.04743855,0.1142591767,-0.2697645167
-0.10063591,0.0402445033,0.0063289967,-0.0859834467,0.1399147067,0.0593128333,-0.3036671533,0.1067138833,0.1750943167,0.2984168267,-0.1602279767,-0.28839977,-0.1782510567,0.02833792,-0.06302067,0.27176469,0.0408308967,-0.0832456833,0.2098669233,0.4650922267,-0.08727674,0.07075491,-0.38026368,-0.3322451933,0.0161311033,0.04743855,0.1150036967,-0.3027397267
-0.09623808,0.0399880933,-0.0023446433,-0.0862458233,0.1235738067,0.0626711067,-0.2888495667,0.1142629833,0.16761688,0.29887073,-0.1585587567,-0.28678059,-0.1778640667,0.0208001633,-0.06397855,0.2569035733,0.04982988,-0.0840213833,0.20977289,0.4675349433,-0.0652442333,0.0636079867,-0.3810393867,-0.3302186467,0.0107140333,0.04743855,0.11444787,-0.3361736567
-0.0909723133,0.0394135567,-0.0109925167,-0.0868807467,0.10719595,0.0639533667,-0.2767777,0.12275575,0.1610036167,0.2970194767,-0.1563230767,-0.2836626033,-0.17960881,0.01169772,-0.06380129,0.2436859933,0.05776984,-0.08464517,0.2109119433,0.47105602,-0.0483135133,0.0563435367,-0.38166317,-0.3276981467,0.0028071167,0.04743855,0.1160672433,-0.3696467433
-0.0866817633,0.04075134,-0.01982774,-0.0871261367,0.0925984433,0.0634140133,-0.26247669,0.1314048133,0.1536972833,0.2974571233,-0.15379405,-0.28189136,-0.1801090133,0.00390299,-0.06513471,0.2303779967,0.06423116,-0.08399438,0.21146976,0.4697586067,-0.0340945467,0.0533971767,-0.3810123733,-0.3267091667,-0.0044733667,0.04743855,0.11575467,-0.40337395
-0.0812731933,0.0423374633,-0.0259908967,-0.08672774,0.0778348633,0.0622033433,-0.2512612733,0.13759783,0.1483742833,0.2962557233,-0.14980197,-0.2805714833,-0.1797599333,-0.0041216467,-0.0677606133,0.2153564133,0.0719393533,-0.0831678467,0.2118669067,0.46686883,-0.0252268767,0.0537172967,-0.38018585,-0.3256430467,-0.0113454933,0.04743855,0.1169521167,-0.4363999933
-0.0778137,0.04180607,-0.0332178967,-0.08726989,0.06452792,0.0624899933,-0.2400090767,0.1426380667,0.14363972,0.2944960033,-0.1462497433,-0.27916578,-0.17967467,-0.0110285,-0.0699992467,0.2031151,0.0782549667,-0.0841282567,0.2119519667,0.4674696967,-0.0159286333,0.0518649833,-0.3811462467,-0.32275984,-0.0144826433,0.04743855,0.1180686367,-0.4702045233
-0.0746645567,0.04087446,-0.03855001,-0.0866734033,0.0524064333,0.0632586733,-0.22835605,0.14702203,0.14021796,0.29296778,-0.1447740833,-0.2768824333,-0.18029186,-0.0159368033,-0.0727217333,0.1904282833,0.08324488,-0.0824800867,0.2113132,0.46433841,-0.0086754533,0.05304697,-0.3794980767,-0.3231270233,-0.01711038,0.04743855,0.1189659367,-0.5034965633
-0.0719719633,0.03903663,-0.04539622,-0.0878603167,0.03882225,0.0627764133,-0.2192243133,0.15010292,0.13855885,0.2908354567,-0.14217325,-0.2748241967,-0.18160283,-0.0208425067,-0.0753518067,0.1765053833,0.0870662,-0.08085831,0.2100824067,0.4659306833,-0.0029161333,0.0522746433,-0.3778763467,-0.3230668767,-0.0207691233,0.04743855,0.1175618933,-0.53651845
-0.0693535267,0.0369477267,-0.0506119533,-0.08665865,0.0259333233,0.0613673533,-0.2095782133,0.1524149767,0.1373739033,0.2877045033,-0.13989622,-0.2739045433,-0.1812660233,-0.0270513333,-0.0786578,0.1645565533,0.0908629433,-0.08072282,0.21177786,0.46717232,0.0016761433,0.0530964133,-0.3777408167,-0.3217452833,-0.02534035,0.04743855,0.11682134,-0.56997706
-0.0679880833,0.0357824533,-0.0560288967,-0.0870479633,0.0155433233,0.06053938,-0.2010723333,0.1550132333,0.1352456833,0.2877764433,-0.13692708,-0.2731333233,-0.1831244833,-0.0325533733,-0.0787437033,0.1542547533,0.0956536,-0.08021285,0.2130865933,0.4724944867,0.00708414,0.0527607867,-0.3772308667,-0.32065702,-0.0276967567,0.04743855,0.1155809033,-0.6037095533
-0.06356967,0.03653513,-0.0619893033,-0.08793736,0.0073251167,0.0612511567,-0.19160456,0.1580297867,0.1339840567,0.2849315567,-0.1352175867,-0.27312871,-0.1828779933,-0.03578806,-0.0815792067,0.14276647,0.0997549567,-0.0785086567,0.2117864867,0.47289819,0.00979823,0.05375524,-0.3755266433,-0.3205132933,-0.02852867,0.04743855,0.1148605567,-0.63661787
-0.06269986,0.03455502,-0.0659562633,-0.0894982267,-0.0020608867,0.0593171767,-0.1833491467,0.1607206633,0.13232289,0.2839004367,-0.1339157967,-0.2724549433,-0.1819701433,-0.04114066,-0.0854275267,0.13168693,0.1010363033,-0.0760722133,0.21259469,0.47482364,0.01292601,0.0555336833,-0.3730902133,-0.32090865,-0.0322236733,0.04743855,0.1159014767,-0.6700714567
-0.05921241,0.0365348633,-0.07115085,-0.0895877467,-0.01183789,0.05757314,-0.17597105,0.1636392767,0.1307328933,0.2822900567,-0.1322939133,-0.2725753433,-0.18242815,-0.0451668867,-0.0886404,0.1234156167,0.1023054367,-0.07537208,0.2108216433,0.4715701267,0.01594533,0.0585130533,-0.3723900667,-0.3198080633,-0.03475094,0.04743855,0.1153615467,-0.7021859467
-0.05651828,0.03661449,-0.0734368367,-0.0908154867,-0.01921644,0.0577507367,-0.17141044,0.1661024,0.1294373,0.28062041,-0.1321195967,-0.26996789,-0.1837136633,-0.0484177367,-0.0915942667,0.1142249933,0.1041029267,-0.0750727233,0.20977524,0.4703268233,0.0174571833,0.0615854333,-0.3720906433,-0.3179799667,-0.0386622067,0.04743855,0.1154319867,-0.73487925
-0.05386006,0.03419941,-0.0781318067,-0.0920281,-0.02850066,0.05636217,-0.1684900533,0.1668241367,0.12941482,0.2800485733,-0.1293613167,-0.26808471,-0.18475071,-0.0536244733,-0.0943595567,0.1059032933,0.1056083433,-0.0742276633,0.20872488,0.4766010367,0.0211788967,0.0595566833,-0.3712455467,-0.3168123433,-0.0395586333,0.04743855,0.11627251,-0.76761762
-0.05111362,0.03427873,-0.08128583,-0.0921009733,-0.0366393167,0.0567674633,-0.16453246,0.1689828333,0.1290813967,0.2762250567,-0.12755311,-0.2665186667,-0.1856336733,-0.0583607667,-0.0965591633,0.0976939667,0.1073825067,-0.07415513,0.2068084767,0.48259093,0.02583607,0.05811881,-0.37117299,-0.31501283,-0.0423686333,0.04743855,0.1164412767,-0.80072921
-0.04776478,0.0319131633,-0.0843496267,-0.0929649633,-0.0433864433,0.0551566233,-0.1610625833,0.1701827033,0.12937495,0.27439586,-0.12569388,-0.2645729733,-0.1877777833,-0.0633110267,-0.0972199933,0.0922498467,0.1080401833,-0.0731525467,0.2058036067,0.4871019767,0.03147677,0.0548677633,-0.37017047,-0.3142628933,-0.0454683233,0.04743855,0.1162849433,-0.8334947767
-0.0444361333,0.0311306067,-0.0880287767,-0.0938411633,-0.05116634,0.0544681333,-0.15613318,0.17150786,0.1297477333,0.27173874,-0.1243845833,-0.2639528367,-0.1874086767,-0.0675427633,-0.0978096767,0.0843379467,0.10971708,-0.0727734967,0.20541771,0.4849718167,0.0325299467,0.0582782867,-0.3697914533,-0.3133677367,-0.0480113033,0.04743855,0.1141674467,-0.8656042567
-0.0443479967,0.03067561,-0.0911240167,-0.0928151033,-0.0571004533,0.05185768,-0.15303522,0.1741579467,0.1292844833,0.2691014867,-0.12245954,-0.2631541133,-0.18889018,-0.0721407767,-0.0991806767,0.07741208,0.1100525033,-0.0716505667,0.2067148067,0.4889158433,0.0335472233,0.0607238833,-0.36866853,-0.3117927767,-0.0489270767,0.04743855,0.11167813,-0.89764831
-0.04259533,0.03174807,-0.09513315,-0.0939359567,-0.0625995267,0.05161077,-0.1494351667,0.17493309,0.13043129,0.26648524,-0.12308536,-0.2609183567,-0.18915987,-0.0748441733,-0.1006339567,0.0717029933,0.1111661633,-0.0707004767,0.20738608,0.49140748,0.0318639533,0.0659662533,-0.3677184433,-0.3104979867,-0.05141378,0.04743855,0.11212803,-0.9303081
