0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-0.1413451036,0.0553108826,0.1148756643,-0.0728713796,0.3046070238,0.0350391467,-0.4413071573,-0.0144173543,0.2998493214,0.2778756519,-0.1838915944,-0.2981745303,-0.1911327193,0.0918905263,-0.0755631576,0.3991394838,-0.0677939194,-0.03835731,0.184264188,0.4354424775,-0.3381943802,0.1664721171,-0.335375309,-0.3877836068,0.0983203525,0.0474385619,0.1095854541,-0.0337464102
-0.1350582838,0.052153298,0.0990364552,-0.0749283085,0.2827005883,0.038582433,-0.4237241447,0.0035451432,0.2810134292,0.2833465338,-0.1822737505,-0.2974336743,-0.1868219922,0.0834234878,-0.0722136771,0.3819529116,-0.0514443417,-0.0476948271,0.1889672031,0.4329129159,-0.3050603966,0.1576167246,-0.3447128336,-0.3775438865,0.086888353,0.0474385582,0.1089507093,-0.0669632331
-0.1315146933,0.048994982,0.0841483722,-0.0770069559,0.260248065,0.0419900691,-0.4077869554,0.0228451118,0.2619138062,0.2874644597,-0.1805155029,-0.2982167502,-0.1826193581,0.0744610205,-0.0684589545,0.3654092749,-0.0351557235,-0.0585196068,0.1956014832,0.4354997377,-0.2716283401,0.1453079383,-0.3555375536,-0.3655441403,0.0737387265,0.0474385507,0.1099341636,-0.1006513312
-0.1265568634,0.045018925,0.0716750522,-0.0797833651,0.2380411327,0.0451789014,-0.3903676768,0.0427450277,0.2417740474,0.2900580267,-0.1776401947,-0.2956073185,-0.1812118242,0.065105848,-0.0659087499,0.3485555251,-0.0189144049,-0.0659688264,0.2010222574,0.4381455382,-0.2384160956,0.1327514499,-0.3629867633,-0.3570589125,0.0611632417,0.0474385507,0.1123146017,-0.1342680355
-0.1205527857,0.0452026452,0.0582333567,-0.0816100587,0.2156606962,0.048521705,-0.3729624252,0.0566495707,0.2271843702,0.2938959102,-0.172458147,-0.2957358956,-0.1793416341,0.0561828427,-0.0650084006,0.3314366738,-0.0058495657,-0.0732393811,0.2039480557,0.4458522201,-0.2047596971,0.1170335611,-0.3702572982,-0.3482008676,0.0502619197,0.0474385507,0.1127933512,-0.1685467064
-0.1147555485,0.0426373606,0.0428853668,-0.0828145146,0.1965417266,0.0512382798,-0.3564818899,0.070042779,0.2138703167,0.2946296036,-0.1697932084,-0.2953582406,-0.1780198067,0.0506725137,-0.0633464307,0.3148322403,0.0078169222,-0.0781354954,0.2064678023,0.4510278006,-0.1723032345,0.1041043674,-0.3751534124,-0.341925929,0.0405824818,0.0474385507,0.1136949634,-0.2025107791
-0.1095543404,0.0400771461,0.0313599296,-0.0834003215,0.1774474978,0.0549802134,-0.3388404548,0.0841265644,0.1990878433,0.2950549225,-0.1679432889,-0.2936102152,-0.1771199356,0.0421140169,-0.0625046194,0.3023581604,0.01907689,-0.0802728633,0.2085915407,0.453526636,-0.141365702,0.0934075415,-0.3772908151,-0.33822004,0.0318829324,0.0474385507,0.1141082893,-0.2359466503
-0.1052552586,0.0391617219,0.0171268573,-0.0853161663,0.157214875,0.056873812,-0.322800835,0.0961800665,0.1867817789,0.2962689996,-0.1636911482,-0.2918205361,-0.1768790732,0.0350135677,-0.0618325733,0.2877544562,0.0307181161,-0.0823276987,0.209410573,0.4614953101,-0.1122096802,0.0795435632,-0.3793456554,-0.3347554406,0.0230446042,0.0474385507,0.1142591834,-0.2697645227
-0.100635916,0.0402445098,0.0063290026,-0.0859834502,0.1399147113,0.0593128378,-0.3036671579,0.1067138885,0.1750943214,0.2984168331,-0.1602279792,-0.2883997758,-0.1782510628,0.0283379257,-0.0630206739,0.2717646956,0.0408309009,-0.0832456897,0.209866931,0.4650922318,-0.0872767443,0.070754913,-0.3802636862,-0.3322452009,0.0161311058,0.0474385507,0.1150037025,-0.3027397295
-0.0962380841,0.0399880968,-0.002344649,-0.0862458274,0.1235738148,0.0626711088,-0.2888495723,0.1142629857,0.1676168839,0.2988707324,-0.1585587611,-0.2867805958,-0.1778640697,0.0208001708,-0.0639785565,0.2569035788,0.0498298829,-0.0840213895,0.2097728948,0.4675349494,-0.0652442401,0.0636079932,-0.381039391,-0.3302186529,0.0107140383,0.0474385507,0.1144478743,-0.3361736635
-0.0909723192,0.0394135614,-0.0109925219,-0.0868807485,0.1071959585,0.0639533723,-0.2767777046,0.122755756,0.1610036194,0.2970194817,-0.1563230803,-0.2836626073,-0.1796088169,0.0116977273,-0.0638012961,0.2436860005,0.0577698424,-0.0846451744,0.2109119495,0.4710560242,-0.0483135184,0.0563435455,-0.3816631734,-0.3276981513,0.0028071188,0.0474385507,0.1160672481,-0.3696467479
-0.0866817683,0.0407513467,-0.0198277483,-0.0871261408,0.0925984482,0.0634140174,-0.2624766926,0.1314048171,0.153697287,0.2974571288,-0.1537940552,-0.2818913658,-0.1801090191,0.0039029931,-0.0651347165,0.2303780019,0.0642311623,-0.0839943861,0.2114697645,0.4697586099,-0.0340945541,0.0533971799,-0.3810123801,-0.3267091711,-0.0044733685,0.0474385507,0.1157546739,-0.4033739567
-0.0812732006,0.0423374698,-0.0259909015,-0.0867277458,0.0778348694,0.0622033489,-0.251261279,0.1375978341,0.1483742893,0.2962557276,-0.1498019795,-0.2805714905,-0.1797599395,-0.0041216501,-0.067760619,0.2153564145,0.0719393591,-0.083167851,0.2118669103,0.4668688377,-0.0252268786,0.0537172991,-0.3801858524,-0.3256430527,-0.011345499,0.0474385507,0.1169521213,-0.4363999963
-0.0778137023,0.0418060732,-0.0332178983,-0.0872698948,0.0645279263,0.0624899988,-0.2400090843,0.1426380724,0.1436397235,0.2944960097,-0.1462497463,-0.2791657845,-0.1796746751,-0.0110285074,-0.0699992503,0.2031151056,0.0782549679,-0.0841282606,0.2119519711,0.4674697022,-0.0159286382,0.0518649879,-0.3811462522,-0.3227598468,-0.0144826469,0.0474385507,0.1180686404,-0.4702045321
-0.0746645605,0.0408744626,-0.0385500143,-0.0866734063,0.0524064377,0.0632586765,-0.2283560534,0.1470220337,0.1402179648,0.2929677864,-0.1447740893,-0.2768824399,-0.1802918663,-0.0159368094,-0.0727217371,0.1904282868,0.083244885,-0.0824800928,0.211313203,0.4643384119,-0.0086754591,0.053046974,-0.3794980844,-0.3231270313,-0.0171103859,0.0474385507,0.1189659412,-0.5034965674
-0.0719719703,0.0390366341,-0.0453962237,-0.087860321,0.0388222548,0.062776419,-0.2192243189,0.1501029233,0.1385588547,0.29083546,-0.1421732555,-0.2748242021,-0.1816028357,-0.02084251,-0.0753518119,0.1765053868,0.0870662058,-0.080858315,0.2100824118,0.4659306904,-0.002916134,0.0522746481,-0.3778763513,-0.3230668803,-0.0207691249,0.0474385507,0.1175618991,-0.5365184546
-0.0693535333,0.0369477322,-0.0506119591,-0.0866586566,0.0259333315,0.0613673553,-0.209578221,0.1524149825,0.1373739094,0.2877045075,-0.1398962239,-0.2739045521,-0.1812660297,-0.0270513371,-0.0786578059,0.1645565579,0.0908629497,-0.0807228262,0.2117778659,0.4671723247,0.0016761377,0.0530964186,-0.3777408202,-0.3217452864,-0.0253403534,0.0474385507,0.1168213487,-0.5699770649
-0.0679880853,0.0357824564,-0.0560289025,-0.0870479693,0.0155433264,0.0605393884,-0.2010723402,0.1550132384,0.1352456858,0.2877764503,-0.1369270831,-0.2731333276,-0.1831244876,-0.0325533773,-0.0787437061,0.1542547594,0.095653606,-0.0802128538,0.2130866001,0.4724944929,0.0070841482,0.052760791,-0.3772308727,-0.3206570248,-0.0276967616,0.0474385507,0.1155809065,-0.6037095586
-0.0635696761,0.0365351389,-0.0619893099,-0.0879373625,0.0073251217,0.0612511598,-0.1916045646,0.1580297947,0.1339840641,0.2849315604,-0.1352175921,-0.2731287181,-0.1828779976,-0.0357880654,-0.0815792109,0.1427664757,0.0997549618,-0.0785086602,0.2117864937,0.4728981952,0.0097982354,0.0537552461,-0.3755266468,-0.3205132981,-0.0285286723,0.0474385507,0.1148605595,-0.6366178791
-0.0626998655,0.0345550242,-0.0659562697,-0.0894982318,-0.0020608919,0.0593171852,-0.1833491524,0.1607206712,0.1323228975,0.2839004397,-0.1339158018,-0.2724549472,-0.1819701493,-0.0411406656,-0.0854275326,0.1316869358,0.1010363102,-0.076072216,0.2125946929,0.4748236438,0.0129260155,0.055533691,-0.3730902175,-0.3209086557,-0.0322236791,0.0474385507,0.1159014801,-0.6700714628
-0.0592124164,0.0365348694,-0.0711508542,-0.089587753,-0.0118378929,0.0575731459,-0.175971056,0.1636392822,0.1307328989,0.2822900613,-0.1322939197,-0.2725753486,-0.1824281563,-0.0451668898,-0.0886404042,0.1234156216,0.1023054396,-0.0753720825,0.2108216484,0.4715701342,0.0159453359,0.0585130577,-0.3723900716,-0.3198080659,-0.0347509483,0.0474385507,0.1153615539,-0.7021859487
-0.0565182815,0.0366144913,-0.0734368389,-0.090815492,-0.019216445,0.0577507429,-0.1714104414,0.1661024044,0.1294373075,0.280620416,-0.132119601,-0.2699678938,-0.1837136696,-0.0484177445,-0.0915942689,0.1142250001,0.1041029319,-0.0750727281,0.2097752442,0.4703268309,0.017457189,0.0615854363,-0.3720906476,-0.3179799716,-0.0386622126,0.0474385507,0.1154319892,-0.7348792553
-0.0538600671,0.0341994129,-0.0781318098,-0.0920281063,-0.0285006619,0.0563621782,-0.1684900572,0.1668241421,0.1294148266,0.280048579,-0.1293613215,-0.2680847148,-0.1847507159,-0.0536244785,-0.0943595618,0.1059033001,0.105608349,-0.0742276683,0.2087248812,0.4766010443,0.0211789012,0.0595566891,-0.3712455531,-0.3168123464,-0.0395586379,0.0474385507,0.1162725116,-0.767617623
-0.0511136254,0.0342787355,-0.0812858343,-0.0921009779,-0.0366393204,0.0567674687,-0.1645324628,0.1689828386,0.1290814032,0.2762250602,-0.1275531178,-0.2665186723,-0.1856336792,-0.0583607741,-0.0965591669,0.0976939673,0.1073825111,-0.074155132,0.2068084826,0.4825909336,0.0258360729,0.0581188152,-0.3711729944,-0.3150128325,-0.042368638,0.0474385507,0.1164412796,-0.8007292151
